Codice;Sigla;Descrizione Prodotto;Listino Febbraio 2026 Euro cad.;
A3B7J;BM417620;INTERR. AUTOMATICO 1 POLO + N- 20A/ 4,5kA curva C 2 moduli; 	16,73 ;
A3B7K;BM417625;INTERR. AUTOMATICO 1 POLO + N- 25A/ 4,5kA curva C 2 moduli; 	18,11 ;
A3B7L;BM417632;INTERR. AUTOMATICO 1 POLO + N- 32A/ 4,5kA curva C 2 moduli; 	18,52 ;
A3B7N;BM417650;INTERR. AUTOMATICO 1 POLO + N- 50A/ 4,5kA curva C 2 moduli; 	36,30 ;
Interruttori Automatici Magnetotermici 4,5kA - curva C - 2 Poli - Serie BMS4;;;;
A3B7Y;BM417206;INTERR. AUTOMATICO 2 POLI -  6A/ 4,5kA curva C 2 moduli; 	18,77 ;
A3B7Z;BM417210;INTERR. AUTOMATICO 2 POLI - 10A/ 4,5kA curva C 2 moduli; 	18,77 ;
A3B81;BM417216;INTERR. AUTOMATICO 2 POLI - 16A/ 4,5kA curva C 2 moduli; 	18,77 ;
A3B82;BM417220;INTERR. AUTOMATICO 2 POLI - 20A/ 4,5kA curva C 2 moduli; 	18,77 ;
A3B83;BM417225;INTERR. AUTOMATICO 2 POLI - 25A/ 4,5kA curva C 2 moduli; 	23,13 ;
A3B84;BM417232;INTERR. AUTOMATICO 2 POLI - 32A/ 4,5kA curva C 2 moduli; 	23,13 ;
A3B85;BM417240;INTERR. AUTOMATICO 2 POLI - 40A/ 4,5kA curva C 2 moduli; 	23,13 ;
A3B86;BM417250;INTERR. AUTOMATICO 2 POLI - 50A/ 4,5kA curva C 2 moduli; 	43,97 ;
A3B87;BM417263;INTERR. AUTOMATICO 2 POLI - 63A/ 4,5kA curva C 2 moduli; 	43,97 ;
Interruttori Automatici Magnetotermici 4,5kA - curva C - 3 Poli - Serie BMS4;;;;
A3B8F;BM417306;INTERR. AUTOMATICO 3 POLI -  6A/ 4,5kA curva C 3 moduli; 	28,38 ;
A3B8G;BM417310;INTERR. AUTOMATICO 3 POLI - 10A/ 4,5kA curva C 3 moduli; 	28,38 ;
A3B8H;BM417316;INTERR. AUTOMATICO 3 POLI - 16A/ 4,5kA curva C 3 moduli; 	25,94 ;
A3B8J;BM417320;INTERR. AUTOMATICO 3 POLI - 20A/ 4,5kA curva C 3 moduli; 	25,94 ;
A3B8K;BM417325;INTERR. AUTOMATICO 3 POLI - 25A/ 4,5kA curva C 3 moduli; 	29,07 ;
A3B8L;BM417332;INTERR. AUTOMATICO 3 POLI - 32A/ 4,5kA curva C 3 moduli; 	31,18 ;
A3B8M;BM417340;INTERR. AUTOMATICO 3 POLI - 40A/ 4,5kA curva C 3 moduli; 	31,18 ;
A3B8N;BM417350;INTERR. AUTOMATICO 3 POLI - 50A/ 4,5kA curva C 3 moduli; 	51,98 ;
A3B8P;BM417363;INTERR. AUTOMATICO 3 POLI - 63A/ 4,5kA curva C 3 moduli; 	51,98 ;
Interruttori Automatici Magnetotermici 4,5kA - curva C - 3 Poli+N - Serie BMS4;;;;
